Numéro du poste,Circonscription,Commune,Etablissement,RNE,Nature,Spécialité,Nb. Cl.,Dont Cl. Spé.,Nb supports mis au mouvement,Nb supports inaccessibles,Total,Dont nb supports vacants,Coords
18229,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES GIRANDOLES                ,0770245Y,DE - Directeur d'école,D0000 - Direction,8,1,1,0,1,0,"(48.8456885, 2.8177384)"
21156,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES GIRANDOLES                ,0772419L,DE - Directeur d'école,D0000 - Direction,4,0,1,0,1,0,"(48.8456885, 2.8177384)"
21225,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES COLORIADES                ,0772531H,DE - Directeur d'école,D0000 - Direction,10,0,1,0,1,0,"(48.8498505, 2.8189346)"
21323,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES ALIZES                    ,0772636X,DE - Directeur d'école,D0000 - Direction,7,0,1,0,1,0,"(48.8526853, 2.8273465)"
18230,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES GIRANDOLES                ,0770245Y,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,6,0,6,0,"(48.8456885, 2.8177384)"
21226,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES COLORIADES                ,0772531H,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,5,0,5,0,"(48.8498505, 2.8189346)"
21324,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES ALIZES                    ,0772636X,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,4,0,4,0,"(48.8526853, 2.8273465)"
21157,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES GIRANDOLES                ,0772419L,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,3,0,3,1,"(48.8456885, 2.8177384)"
174722,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES COLORIADES                ,0772531H,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,4,0,4,2,"(48.8498505, 2.8189346)"
21325,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES ALIZES                    ,0772636X,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.8526853, 2.8273465)"
21227,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES COLORIADES                ,0772531H,RASE - Réseau d'aide à dominante,G0173 - Rased aide à dominante pédagogique,0,0,0,1,1,0,"(48.8498505, 2.8189346)"
211331,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES GIRANDOLES                ,0770245Y,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.8456885, 2.8177384)"
211330,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES GIRANDOLES                ,0772419L,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8456885, 2.8177384)"
211332,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES COLORIADES                ,0772531H,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.8498505, 2.8189346)"
18232,VAL D'EUROPE,BAILLY ROMAINVILLIERS,LES GIRANDOLES                ,0770245Y,ULEC - Ulis école,G0176 - Ulis ue troubles fonctions cognitives,0,0,1,0,1,1,"(48.8456885, 2.8177384)"
20775,MONTEREAU,BALLOY,,0772062Y,DE - Directeur d'école,D0000 - Direction,1,0,1,0,1,0,"(48.3982002, 3.1464585)"
19089,PROVINS,BANNOST VILLEGAGNON,,0770730A,DE - Directeur d'école,D0000 - Direction,3,0,1,0,1,0,"(48.6781137, 3.1912358)"
19090,PROVINS,BANNOST VILLEGAGNON,,0770730A,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.6781137, 3.1912358)"
20019,FONTAINEBLEAU,BARBIZON,,0771526R,DE - Directeur d'école,D0000 - Direction,4,0,1,0,1,0,"(48.4461862, 2.6026089)"
20020,FONTAINEBLEAU,BARBIZON,,0771526R,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.4461862, 2.6026089)"
20021,FONTAINEBLEAU,BARBIZON,,0771526R,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.4461862, 2.6026089)"
211333,FONTAINEBLEAU,BARBIZON,,0771526R,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.4461862, 2.6026089)"
18730,MEAUX NORD,BARCY,,0770516T,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(49.0173689, 2.8812112)"
166273,MEAUX NORD,BARCY,,0770516T,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(49.0173689, 2.8812112)"
18431,LA FERTE SOUS JOUARRE,BASSEVELLE,,0770345G,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.925136, 3.27735)"
18432,LA FERTE SOUS JOUARRE,BASSEVELLE,,0770345G,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.925136, 3.27735)"
17954,MONTEREAU,BAZOCHES LES BRAY,,0770062Z,DE - Directeur d'école,D0000 - Direction,4,0,1,0,1,0,"(48.398468, 3.1878374)"
